beta,c_max,k_c,f0,k_f,sse,peak,late_mean
0.06,400.0,0.015,0.12,0.25,5380.363671199285,106.78534587793646,105.68527379327912
0.06,400.0,0.01,0.1,0.1,5380.507099409058,106.1864903023591,105.24295483401286
0.05,300.0,0.015,0.15,0.2,5381.809048594032,105.86173205536325,104.88234813404164
0.06,400.0,0.02,0.1,0.1,5381.935155783459,110.26226076139827,109.06165069125313
0.06,300.0,0.02,0.1,0.1,5387.157782084591,112.63152925320158,111.3839560889704
0.07,400.0,0.02,0.15,0.25,5421.667382140369,117.09670374324085,115.7121439559863
0.05,400.0,0.02,0.15,0.15,5422.032409064829,106.13310565160063,105.12943455038221
0.06,350.0,0.02,0.1,0.15,5431.738593192966,109.63551642924529,108.41059180026542
0.06,300.0,0.015,0.1,0.2,5432.8090503322865,108.58351199356126,107.41200199771315
0.06,350.0,0.015,0.1,0.15,5434.096060347888,108.08252330919078,106.94771690586963
0.05,450.0,0.01,0.15,0.1,5435.126822015294,103.618073861898,102.8706198869208
0.07,300.0,0.015,0.12,0.2,5435.253982976053,116.40567485527637,115.05703020470408
0.06,300.0,0.02,0.1,0.2,5445.397165938529,109.91949400432387,108.67016412875665
0.07,300.0,0.015,0.1,0.15,5449.366942501585,115.5905564305325,114.23959814534149
0.06,350.0,0.005,0.12,0.25,5455.892163229438,103.54396371052248,102.74654219028663
0.05,350.0,0.01,0.15,0.15,5462.083054095675,104.15209007627197,103.31487949242906
0.06,300.0,0.02,0.12,0.1,5467.1587321076,114.81887976955252,113.57411585041751
0.06,400.0,0.02,0.15,0.1,5476.637484158421,115.68947302986989,114.49788905885165
0.06,450.0,0.015,0.12,0.2,5477.4619162363815,106.04747692192136,104.98272181772576
0.06,300.0,0.01,0.1,0.2,5483.397176063117,106.85740891088291,105.803195422809
0.07,450.0,0.01,0.15,0.1,5486.786577024919,115.76683521554372,114.78287910214495
