beta,tau_r,r_max,c_max,k_c,l2,l3,t1,t2,f0,t_hold,t_switch,k1,k2,sse,peak,mid_mean,late_mean,jump_pct,tail_err,loss
0.075,8,550.0,400.0,0.002,1450.0,1200.0,20,60,0.15,8,32,0.05,0.3,3398.6398649383923,108.65150638381428,108.20209255478719,104.88240479357597,4.082801566255534,300.23574920818146,5805.884389055471
0.075,8,550.0,400.0,0.003,1450.0,1100.0,25,60,0.15,8,32,0.05,0.25,3692.39188133882,109.89255434539723,109.24639428561355,104.49999375266583,4.083106877036413,272.10843187919045,5807.102958067023
0.075,8,550.0,400.0,0.002,1450.0,1150.0,25,55,0.15,8,35,0.05,0.25,3778.9399066970436,109.97320812365064,108.36132171933298,104.15999696609225,4.082801566255534,259.7646971736869,5808.15647813565
0.075,8,550.0,400.0,0.002,1500.0,1100.0,25,55,0.15,8,35,0.05,0.3,3985.2499857160906,110.9554347720427,108.98133429700218,103.84323632764213,4.082801566255534,239.36419165630662,5811.5876354567
0.075,8,550.0,400.0,0.002,1450.0,1100.0,20,60,0.16,8,32,0.05,0.3,3804.7608268178838,110.23461527027538,109.53415326463531,104.32693868343078,4.235486528810051,260.5285355667454,5812.015632162609
0.075,8,550.0,400.0,0.002,1450.0,1100.0,20,60,0.15,10,32,0.05,0.3,3828.2876366150085,110.17736924192124,109.47785654997365,104.2776789248928,4.082801566255534,258.3322312162057,5821.694072665916
0.075,10,550.0,400.0,0.003,1450.0,1100.0,20,55,0.15,8,35,0.05,0.25,3871.49874595642,110.59650256846508,108.77129361662287,104.08301250968783,4.083106877036413,253.38670663103022,5821.823609928303
0.075,8,550.0,400.0,0.002,1450.0,1150.0,20,55,0.15,8,38,0.05,0.25,3763.237326112634,110.08606110348299,108.47574372575525,104.26220135603072,4.082801566255534,264.35124592018497,5822.942815576602
0.075,8,550.0,400.0,0.003,1450.0,1150.0,20,55,0.15,8,35,0.05,0.3,3658.8493475142545,109.6540628576531,108.17722262288044,104.42015148083262,4.083106877036413,275.32867657335754,5826.68360300316
0.075,8,550.0,400.0,0.002,1450.0,1150.0,20,55,0.16,8,32,0.05,0.3,3784.5617712339463,110.06413336541738,108.44192246778103,104.22993013847524,4.235486528810051,262.8984250003923,5832.531091732826
0.075,8,550.0,400.0,0.002,1450.0,1100.0,20,55,0.16,8,35,0.05,0.3,4022.2159232528593,110.91267953035667,108.9406995367198,103.80768400330561,4.235486528810051,237.84392939870966,5836.671767144059
0.075,8,550.0,400.0,0.002,1450.0,1100.0,25,55,0.16,8,32,0.05,0.25,4038.984930671914,110.85192630381333,108.88451983108996,103.75898232162888,4.235486528810051,235.76932083971815,5839.447788359207
0.075,10,550.0,400.0,0.002,1450.0,1200.0,20,55,0.15,8,32,0.05,0.3,3544.1251437774176,109.19531970441328,107.92105143035735,104.63208115860265,4.082801566255534,288.3164000125378,5840.366065287137
0.075,8,550.0,400.0,0.003,1450.0,1150.0,25,55,0.15,8,32,0.05,0.25,3677.838474256974,109.63147827233904,108.15725417532539,104.40289648753956,4.083106877036413,274.53504829988515,5840.621416869967
0.075,8,550.0,400.0,0.002,1450.0,1150.0,20,55,0.15,10,32,0.05,0.3,3809.6424401230242,110.00587187333895,108.38619026971028,104.18071876000641,4.082801566255534,260.6911679837674,5844.607729401969
0.075,8,550.0,400.0,0.002,1500.0,1150.0,25,55,0.15,8,32,0.05,0.3,3776.2014967655527,110.15939850457053,108.53304557294106,104.31038680398122,4.082801566255534,266.52713205965176,5849.765465121408
