f0,t_hold,t_switch,k1,k2,sse,peak,mid_mean,late_mean,jump_pct,loss
0.2,8,35,0.05,0.3,19495.78953886327,124.67034298177254,123.85672968445598,117.90277641096291,5.174083000057905,25397.142999049014
0.18,10,40,0.05,0.24,19282.0554513864,125.08682823547763,124.27163424268386,118.2710694595047,4.847125499332305,25465.089299857373
0.16,10,45,0.04,0.2,18970.45967755475,125.72759025686608,124.93364938307393,118.89777344871789,4.520652702501038,25630.78934394522
0.18,10,35,0.05,0.12,19317.948706318395,125.22964538021306,124.46215416680415,118.56613922985599,4.847125499332305,25678.795444442123
0.16,8,40,0.03,0.3,19298.647021560333,125.41160447338659,124.5872941410571,118.54050970660413,4.520652702501038,25698.149369691644
0.18,8,35,0.04,0.16,19602.62506633253,125.32826308889449,124.52590508416623,118.52805921541288,4.847125499332305,25972.01571390902
0.18,10,40,0.05,0.2,19607.574134502167,125.37455239702457,124.56263337610505,118.53830812976837,4.847125499332305,25994.199613835455
0.16,12,40,0.04,0.3,19614.104140772895,125.42574853962026,124.60080676678334,118.55186273607187,4.520652702501038,26022.806995655297
0.16,8,35,0.03,0.12,19398.131515472272,125.703967559026,124.94993741623857,119.04317367540656,4.520652702501038,26121.153842691605
0.16,10,35,0.03,0.2,19731.999765416167,125.41728400126,124.60020734130731,118.56423688347829,4.520652702501038,26144.78112473713
0.2,8,35,0.05,0.24,19997.18203743701,125.05693340884373,124.23852265777543,118.23748206212653,5.174083000057905,26154.153294151798
0.16,10,45,0.04,0.16,19366.920098862025,126.06935297727713,125.30536696580846,119.30251653855873,4.520652702501038,26322.794039637112
0.16,8,40,0.03,0.24,19831.3516041421,125.86820699168389,125.04273465065185,118.94585647670795,4.520652702501038,26552.35840680394
0.16,12,35,0.04,0.12,19902.398828088117,125.83353599142175,125.0692009707046,119.12720959590759,4.520652702501038,26702.56864210596
0.16,12,40,0.04,0.24,20067.7970428536,125.81484736666324,124.98891241695155,118.89728102557868,4.520652702501038,26750.141768023364
0.18,10,40,0.05,0.16,20076.972041333134,125.77884941554109,124.97948472652584,118.94288665228812,4.847125499332305,26769.85912487816
