l_early,l_late,t_late,tau_b,b_slope,b_max,sse,peak,late_mean,loss
1600.0,1450.0,25,15,25.0,400.0,3331.1243310240657,102.6424480342061,102.21084455292353,3715.016630983815
1600.0,1450.0,30,12,25.0,350.0,3300.501377935813,104.43352771762747,103.86488918603668,3715.3564406037062
1600.0,1400.0,30,15,35.0,350.0,3333.964918242332,102.66294751022971,102.23155941642344,3718.0506878788865
1600.0,1400.0,25,15,35.0,300.0,3322.209388191024,104.19753877852374,103.62672811356917,3728.9271224215536
1600.0,1400.0,30,12,30.0,300.0,3316.8513403047746,104.39453010530045,103.8255320981331,3730.299345490566
1600.0,1450.0,25,15,35.0,350.0,3324.1110056780926,104.18882021262874,103.61792944494012,3730.5454230258274
1600.0,1450.0,20,15,25.0,350.0,3329.3325401021752,104.16153500908787,103.59039362317495,3734.8882751400033
1600.0,1450.0,30,15,35.0,400.0,3360.628799308874,102.55564393950588,102.1231290608504,3743.7775911503695
1600.0,1400.0,25,15,40.0,300.0,3343.7679693244904,104.10588506448347,103.53423284332229,3747.5690307264363
1600.0,1400.0,30,15,40.0,350.0,3368.806456438335,102.54122804997246,102.10856191408804,3751.843634673284
1600.0,1400.0,25,15,25.0,350.0,3371.8554288974765,102.48309242700462,102.04981660420627,3754.4767897312126
1600.0,1350.0,30,12,25.0,300.0,3371.7725991008856,102.59967514249207,102.16762243665733,3755.283221584055
1600.0,1450.0,25,15,40.0,350.0,3353.0849189164583,104.06527925913343,103.49325456795171,3755.637376323143
1600.0,1400.0,30,12,35.0,300.0,3347.0187963510903,104.27506767861085,103.70496977732503,3756.3101623255025
1600.0,1450.0,30,12,30.0,350.0,3354.0331695082696,104.20100607942395,103.6302272735581,3760.8639194021484
1600.0,1400.0,30,10,25.0,300.0,3370.4122902463914,104.22654049893856,103.6559963653909,3778.081337119414
1600.0,1400.0,30,12,40.0,300.0,3372.344146956762,104.1844165660103,103.61348534332498,3778.6359331968597
1600.0,1350.0,25,15,25.0,300.0,3399.761628010938,102.38214983538658,101.94781651937768,3781.7915440036986
