beta,tau_r,r_max,c_max,k_c,tau_q,q_max,k_q,sse,peak,mid_mean,late_mean,jump_pct,tail_err,loss
0.082,11,550.0,425.0,0.003,60,0.07,0.08,2531.3480585317707,107.30826958148405,106.50008623591236,94.68105637490746,4.592908359469039,0.44464279934261225,2958.68213446833
0.085,11,550.0,450.0,0.0025,60,0.05,0.08,2498.64245638566,107.12395281729411,106.27304102046999,95.67252235931373,4.718965651019991,7.953356615679748,2959.116132255094
0.08,11,550.0,425.0,0.003,60,0.05,0.12,2426.979278741465,106.491886701594,105.7161264527138,95.36067875061632,4.479916494178848,5.9311776985558,2959.4072312907797
0.082,10,550.0,400.0,0.0025,60,0.05,0.08,2395.1980288193686,107.72773158790518,106.99932236713121,97.3427783877446,4.6345160183722145,34.94728978378011,2959.7003438847964
0.082,11,600.0,400.0,0.003,60,0.05,0.08,2414.7223641113565,106.422216810788,105.62189143888767,95.53940842086212,4.634683323092759,7.3712062992062215,2960.1102261430333
0.085,10,550.0,425.0,0.0025,60,0.05,0.12,2585.0147500031635,107.84126796449502,106.96384353351432,95.56113531285212,4.762302425822895,6.432527105684294,2960.3395504801574
0.08,10,550.0,400.0,0.0025,60,0.05,0.16,2481.755919847193,106.89859932761938,106.08490257085955,95.21063165292254,4.52048956773734,4.591723192059616,2962.0773944067228
0.082,11,550.0,450.0,0.003,60,0.05,0.08,2391.122381392039,106.24866332407662,105.47184762803572,95.58712917559009,4.5511417571237445,8.096314023908189,2962.2098306520716
0.082,11,550.0,400.0,0.002,60,0.05,0.16,2587.366776666267,107.85373918998621,106.97585161548525,95.4759069026842,4.634348629978358,6.0387462946151595,2962.9636117227315
0.082,11,550.0,400.0,0.003,60,0.05,0.12,2517.3745105041785,108.37832941962071,107.5992301130193,97.0232746056151,4.634683323092759,27.552209226464548,2965.2200776217255
0.085,11,600.0,400.0,0.003,60,0.05,0.08,2534.9073248761406,107.6026585196634,106.75070582309061,96.12915950366893,4.805821756721196,12.996081043388086,2965.2489808834816
0.085,10,550.0,425.0,0.003,60,0.07,0.08,2634.3765184729873,108.12613578087284,107.27305186062497,94.91335523388867,4.762486803580357,0.8751538239185546,2967.2134392002445
0.08,11,550.0,400.0,0.002,60,0.07,0.08,2506.5230778013943,107.02210136559373,106.237536941246,94.6529051791558,4.520326351385884,0.4400637006105399,2967.7072115467836
0.082,10,550.0,400.0,0.002,60,0.05,0.16,2556.6677595549004,107.46408278153618,106.59361634560678,95.1638558359363,4.634348629978358,3.7369264084221854,2969.6294093509127
0.082,11,550.0,400.0,0.002,60,0.05,0.08,2443.829414597221,107.85373918998621,107.09688385020938,97.20371352683954,4.634348629978358,31.51744411238488,2970.629612636021
0.085,10,550.0,450.0,0.0025,60,0.05,0.08,2471.379825361778,106.72587106020897,105.88264686446821,95.35237439201747,4.718965651019991,5.209742492325552,2971.364028102539
0.085,10,550.0,400.0,0.0025,60,0.07,0.08,2717.4286879675446,108.96819867535432,108.12517325295619,95.74343097188454,4.805648188688405,5.491944865498811,2973.0224095555636
0.082,11,550.0,425.0,0.003,60,0.05,0.16,2541.504962458791,107.30826958148405,106.44181485077188,95.11810267438563,4.592908359469039,3.5822192936111836,2973.0716831198056
0.085,11,550.0,425.0,0.002,60,0.05,0.08,2556.7779943946803,107.95252071947854,107.11073077146068,96.49415019338777,4.7621179558535065,17.84314266428542,2979.408607336324
0.085,10,550.0,400.0,0.003,60,0.07,0.08,2725.0861379926055,109.23905894472291,108.41749884664198,96.19646852782971,4.805821756721196,9.999024393587513,2979.582074277809
0.08,11,550.0,400.0,0.002,60,0.05,0.16,2517.067376797797,107.02210136559373,106.18080494432074,95.07903134116077,4.520326351385884,3.462379436129906,2981.9703261601153
0.085,10,550.0,425.0,0.003,60,0.05,0.08,2494.2005352895662,108.12613578087284,107.33793851616937,97.15411633714666,4.762486803580357,29.91366182274865,2982.3921372153522
0.085,11,600.0,400.0,0.0025,60,0.05,0.08,2548.4175135336723,107.33577872657898,106.46280963129227,95.67684969572679,4.805648188688405,7.74682861618146,2983.417241819629
