beta,tau_r,r_max,c_max,k_c,tau_q,q_max,k_q,sse,peak,mid_mean,late_mean,jump_pct,tail_err,loss
0.079,12,550.0,400.0,0.0025,62,0.08,0.06,2343.5483394351036,107.23700734207104,106.62668005744949,96.24502083233654,4.463494845059901,11.88375517207792,2790.689855762313
0.081,12,550.0,425.0,0.0035,62,0.08,0.06,2374.8355969032873,107.55249787314352,106.9226031546842,96.32338120442168,4.536581805812867,12.474352697900105,2790.6980068434564
0.079,11,550.0,375.0,0.0035,62,0.08,0.08,2420.1432752712667,108.37066815522124,107.81720114971172,96.82757002502183,4.504031799288888,18.557249678084922,2790.798673217819
0.079,12,525.0,425.0,0.0025,62,0.08,0.06,2330.7121627335478,107.11861630682507,106.51858641872259,96.22631897309428,4.4232676103575175,11.808744339409998,2790.9065339080357
0.079,12,550.0,400.0,0.003,62,0.08,0.06,2335.166912732194,107.48613013034799,106.89617370403425,96.67129769142349,4.463655896520535,17.809572542810884,2790.9978132905007
0.08,11,575.0,375.0,0.0025,62,0.08,0.06,2368.1931961288874,107.3808406694973,106.75200207015942,96.15636464834267,4.5612439008740235,10.480607879778058,2791.0722662358685
0.079,11,550.0,375.0,0.003,62,0.08,0.1,2478.5434750095133,108.13985664191974,107.54787338874398,95.56467165791192,4.5038808598588,3.8076552935219006,2791.3644610542624
0.08,11,525.0,425.0,0.003,62,0.07,0.08,2352.827991693449,107.44435064146299,106.84803772832326,96.38939971623827,4.479916494178848,14.284032308020269,2791.605650707204
0.081,10,525.0,425.0,0.0035,60,0.08,0.06,2407.9094925419595,107.76500194135609,107.06909950886481,96.08867370448291,4.536581805812867,9.930240180761391,2791.741543699082
0.08,10,525.0,400.0,0.003,62,0.07,0.1,2415.7178543217824,108.1255408890677,107.5501079692121,96.54706639339304,4.520652702501038,15.649220369494781,2791.793857162111
0.079,10,550.0,375.0,0.003,60,0.08,0.06,2384.4699271397285,107.76048842722169,107.0952209899956,96.40417921807321,4.5038808598588,14.139665626546712,2792.0875853920184
0.079,10,525.0,400.0,0.003,60,0.08,0.06,2373.4895273393054,107.69159288552996,107.03740976839579,96.44008472654073,4.463655896520535,14.781623958059203,2792.1728817222483
0.08,10,550.0,375.0,0.0025,62,0.07,0.1,2433.5699441793354,107.95734675294462,107.35121983512427,96.10658777451971,4.5612439008740235,9.848666046059517,2792.3073884645005
0.08,10,550.0,400.0,0.003,62,0.07,0.08,2343.983935513735,107.1498443357576,106.54832731073925,96.05715802663025,4.520652702501038,10.223862045866117,2792.3976458830216
0.079,11,525.0,425.0,0.0035,62,0.07,0.08,2312.3649044477797,107.27994550357802,106.71880526728918,96.61012079455983,4.423609693062169,18.047870164439342,2792.4798601534876
0.08,10,575.0,375.0,0.003,62,0.07,0.08,2354.782620281066,107.21882542537732,106.60615879545746,96.02056558193607,4.561396869632572,9.682892039752907,2792.59744212159
0.079,11,575.0,375.0,0.0035,62,0.07,0.1,2391.671677947874,107.42096993300399,106.81759568717696,95.74903702792942,4.504031799288888,6.650315907528521,2792.704276522999
0.079,10,550.0,400.0,0.0035,62,0.07,0.08,2308.388992029086,106.97381710605289,106.40618656459517,96.25465981924759,4.463816867475545,13.130444985149403,2792.7477558835776
0.079,10,550.0,375.0,0.0025,62,0.08,0.06,2320.8483394151513,107.52635046696446,106.96148940376096,96.87279993892531,4.503729844940119,21.04062554405712,2792.922268229619
0.082,10,550.0,400.0,0.0025,62,0.08,0.06,2403.5669474503784,107.72773158790518,107.086144492946,96.26200884124947,4.6345160183722145,11.249372378493552,2792.9327124707465
0.079,12,525.0,400.0,0.003,62,0.08,0.1,2498.313089857955,108.41896478763984,107.83248665051126,95.88014126501182,4.463655896520535,6.258309350613944,2793.21202213343
0.079,10,575.0,375.0,0.003,62,0.08,0.06,2308.0986362018243,106.79903787344409,106.2102994136953,96.01874264566126,4.5038808598588,9.61706121826165,2793.2482464366135
0.079,12,550.0,400.0,0.003,62,0.08,0.08,2410.6756467479618,107.48613013034799,106.87567928171237,95.53414124625176,4.463655896520535,4.035879307451755,2793.2955208775793
0.079,12,575.0,375.0,0.0025,62,0.08,0.06,2359.056494054893,107.35549363093766,106.73484873738175,96.26369605463017,4.503729844940119,11.958685966423724,2793.4017181812023
0.081,10,550.0,400.0,0.0035,62,0.08,0.06,2350.4936323873853,107.81918490364147,107.2333085013588,96.9132671767077,4.577826981705213,21.181213329411662,2793.487778129682
0.08,12,525.0,425.0,0.0025,62,0.08,0.06,2366.653755498326,107.54290278972049,106.92836278663518,96.44556787242695,4.479743197399055,14.164997416650383,2793.5518225694027
0.08,11,525.0,425.0,0.0035,60,0.08,0.06,2397.120923960249,107.70735842868557,107.02093756824806,96.17301356991844,4.480089704331891,11.106177595904128,2793.6529531372084
0.081,10,525.0,425.0,0.0035,62,0.08,0.06,2336.2940493738156,107.76500194135609,107.19173303547743,96.97758532024817,4.536581805812867,22.45510621882847,2793.6761151913133
0.079,11,550.0,375.0,0.0025,62,0.07,0.1,2422.5510978623133,107.90489330288,107.30711425522941,96.19886239158511,4.503729844940119,11.115333564252184,2793.8060909449478
0.081,10,575.0,375.0,0.003,62,0.07,0.08,2391.0690108253793,107.63821334700526,107.01095515159061,96.23277168948559,4.618925466105361,11.75167169856263,2793.895069528064
