beta,tau_r,r_max,c_max,k_c,tau_q,q_max,k_q,m_amp,m_mu,m_sigma,sse,peak,mid_mean,late_mean,jump_pct,tail_err,dip_err,loss
0.078,11,500.0,400.0,0.0035,62,0.07,0.08,0.008,40.0,3.0,2407.1418034307803,104.89525176371444,102.48641198325262,93.9127015740541,4.406830318235411,0.004856234606764874,374.90628858352943,6369.303305964917
0.079,10,500.0,375.0,0.0035,62,0.07,0.1,0.008,40.0,4.0,2654.1685120268485,105.20442231106911,101.68949800642429,92.72720039200804,4.504031799288888,4.766550607581292,318.1700162446216,6369.673244962047
0.079,10,500.0,375.0,0.003,62,0.07,0.08,0.01,40.0,4.0,3207.6915126001704,105.06826789284845,99.60934964753862,91.52634236873853,4.5038808598588,16.72933751977969,185.8154926699133,6371.110517190729
0.08,11,500.0,375.0,0.0035,62,0.07,0.08,0.008,40.0,5.0,2870.631483823867,105.63319208989778,100.59308338045153,92.4360415255734,4.561549761925843,6.462202039035745,273.10181854064354,6373.482219216038
0.078,11,500.0,400.0,0.003,62,0.07,0.08,0.008,40.0,4.0,3002.896617332563,104.46429795640454,100.3650562990721,91.94174182180232,4.406671428425701,11.807365815666888,230.03172149796248,6373.673610598506
0.078,10,500.0,400.0,0.0035,62,0.07,0.1,0.01,40.0,3.0,2974.2792011194747,104.4794818512918,100.73999142093618,91.72979503807048,4.406830318235411,15.217748233093335,233.5112200204757,6375.049255470854
0.079,11,525.0,375.0,0.003,62,0.07,0.08,0.01,40.0,3.0,2718.7646936845144,105.35862764004818,101.31423941944215,92.55805331109404,4.5038808598588,6.037010593189473,303.2470106221128,6375.762244893311
0.078,11,500.0,400.0,0.0035,62,0.07,0.1,0.01,40.0,3.0,2864.018276951262,104.84378046169589,101.05556226034658,91.99375520200364,4.406830318235411,11.951733789465111,262.9613359796771,6376.44529495117
0.078,11,500.0,375.0,0.003,62,0.08,0.08,0.01,40.0,3.0,2628.314281972853,105.38843006303051,101.81238497022895,92.60377142937561,4.446377438062865,6.678233663870975,322.120029405248,6376.484697782365
0.078,11,500.0,400.0,0.0035,62,0.07,0.08,0.006,40.0,5.0,2771.1764268328734,104.28703303198267,101.08109321708203,92.72923524006343,4.4068303182353885,4.237141640869763,287.61787596114937,6380.034240883244
0.078,10,500.0,375.0,0.003,62,0.07,0.1,0.008,40.0,4.0,2862.8041134855557,104.69300940722663,101.02580815936048,92.10226359797372,4.446377438062865,10.553989428628817,265.0124116148143,6382.785595731839
0.079,10,500.0,375.0,0.003,62,0.07,0.1,0.01,40.0,3.0,2614.2751902227437,105.46284409547496,101.91813850001485,92.74218152753056,4.5038808598588,4.876545135873234,331.2150032775902,6389.213662371058
0.078,11,500.0,375.0,0.0035,62,0.07,0.08,0.006,40.0,6.0,2846.4511207655423,104.49959496578231,100.66443028516412,92.68416022229192,4.446526425139008,4.239235347278543,274.59124495439437,6391.362193571997
0.08,11,500.0,400.0,0.0035,62,0.07,0.08,0.008,40.0,4.0,2664.5120757155,105.41301699904453,101.45332184887671,92.8435183808543,4.520815755717722,3.7405336486445795,320.4925720710653,6392.065821041386
0.078,10,500.0,375.0,0.0035,62,0.07,0.08,0.008,40.0,5.0,3258.464523762198,104.37803298816915,99.42079440136084,91.63357381749093,4.44652642568566,14.653467989421454,176.08449476584127,6393.255244296635
0.078,11,500.0,375.0,0.0035,62,0.07,0.08,0.006,40.0,5.0,2469.5032445102092,104.86396516055353,102.06586198354346,93.87016618350712,4.44652642568566,0.00518422552621247,363.7561724989657,6393.599491677152
0.08,10,525.0,375.0,0.0035,62,0.07,0.08,0.008,40.0,4.0,2754.606651083877,105.1832797701211,101.16910159382886,92.51202096230998,4.561549761925887,6.343060046027213,296.5059594001686,6394.368335626332
0.079,10,500.0,400.0,0.003,62,0.07,0.08,0.008,40.0,4.0,2984.7712390955508,104.52723921498891,100.46470294756905,91.92551334043871,4.463655896520535,12.233217908602404,236.62444884573608,6395.127089046792
0.079,10,500.0,375.0,0.0035,60,0.07,0.08,0.01,40.0,3.0,2584.822182358703,105.5449924341943,102.0427041393077,93.04155362053022,4.504031799288888,2.421376633545858,344.26198997098237,6396.1459491808255
0.079,10,500.0,375.0,0.0035,62,0.08,0.08,0.008,40.0,4.0,2654.888264767621,105.20442231106911,101.69550048028336,92.57312763399045,4.504031799288888,6.882361952646235,318.1700162446216,6402.120626761843
0.078,11,500.0,400.0,0.003,62,0.07,0.08,0.008,40.0,3.0,2489.3334716108643,104.80921237945533,102.23616657410989,93.5147552339167,4.406671428425701,0.6235625435808138,360.2998667448428,6404.594483278002
0.079,11,500.0,400.0,0.003,62,0.07,0.08,0.008,40.0,4.0,2876.286777455901,104.89874755220882,100.78255234414678,92.19227928766719,4.463655896520535,9.295805956776451,266.7386649513735,6405.244618247681
