beta,tau_r,r_max,c_max,k_c,tau_q,q_max,k_q,cool_amp,cool_mu,cool_sigma,sse,peak,mid_mean,late_mean,jump_pct,tail_err,dip_err,loss
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.1,41.0,3.0,2327.6990507970745,106.72675659636096,106.13952744913115,95.83888516009391,4.463655896520535,8.23883770378237,857.1362054054082,7959.929759999472
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.1,39.0,2.0,2327.6702730216684,106.72725004310799,106.14001291993705,95.83928735885881,4.463655896520535,8.242713923873104,857.1595267153127,7959.997612987002
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.1,43.0,4.0,2327.740481604312,106.726575594323,106.1393493708188,95.83873762663363,4.463655896520535,8.237416067823965,857.1568996959596,7960.11124230005
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.1,45.0,5.0,2327.7772585317357,106.72653168088081,106.13930595563082,95.83870157115403,4.463655896520535,8.2370686550148,857.1854979003267,7960.32346559237
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.05,39.0,3.0,2327.7122876125495,106.72791965503572,106.14067170840035,95.83983314614562,4.463655896520535,8.247975447113612,857.2651857061142,7960.614851420869
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.08,41.0,3.0,2327.7343982979028,106.72756195469147,106.14031978985341,95.83954159178815,4.463655896520535,8.245164582727222,857.2573061669826,7960.621054429544
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.08,39.0,2.0,2327.7113925197114,106.727956714944,106.14070816927897,95.83986335292674,4.463655896520535,8.24826669692583,857.275965219787,7960.675383794736
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.05,41.0,4.0,2327.735101236326,106.72779092614763,106.14054506016268,95.839728221716,4.463655896520535,8.2469638195188,857.2746020182236,7960.705451242162
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.08,43.0,4.0,2327.7675383481082,106.72741715177993,106.14017732595421,95.83942356405583,4.463655896520535,8.244026818131019,857.2738627561657,7960.766235234245
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.05,43.0,5.0,2327.7596804060195,106.72775952332972,106.14051413642942,95.83970259122364,4.463655896520535,8.246716712873571,857.2943935914828,7960.85153413857
